

 loss 0.255, Acc@1 88.983


 loss 0.252, Acc@1 88.983


 loss 0.254, Acc@1 88.983


 loss 0.257, Acc@1 88.136


 loss 0.261, Acc@1 87.288


 loss 0.261, Acc@1 87.288


 loss 0.254, Acc@1 91.525


 loss 0.269, Acc@1 87.288


 loss 0.304, Acc@1 86.441


 loss 0.283, Acc@1 88.136


 loss 0.264, Acc@1 89.831


 loss 0.260, Acc@1 88.983


 loss 0.260, Acc@1 88.983


 loss 0.256, Acc@1 91.525


 loss 0.271, Acc@1 88.136


 loss 0.263, Acc@1 89.831


 loss 0.268, Acc@1 88.983


 loss 0.284, Acc@1 88.983


 loss 0.270, Acc@1 88.983


 loss 0.267, Acc@1 88.983


 loss 0.277, Acc@1 88.983


 loss 0.275, Acc@1 88.983


 loss 0.271, Acc@1 88.983


 loss 0.276, Acc@1 88.136


 loss 0.268, Acc@1 91.525


 loss 0.268, Acc@1 88.983


 loss 0.273, Acc@1 88.983


 loss 0.272, Acc@1 88.136


 loss 0.271, Acc@1 89.831


 loss 0.272, Acc@1 88.136


 loss 0.274, Acc@1 88.983


 loss 0.271, Acc@1 88.983


 loss 0.272, Acc@1 88.983


 loss 0.268, Acc@1 88.983


 loss 0.271, Acc@1 88.983


 loss 0.286, Acc@1 88.136


 loss 0.280, Acc@1 88.983


 loss 0.273, Acc@1 88.136


 loss 0.271, Acc@1 88.136


 loss 0.279, Acc@1 88.136


 loss 0.280, Acc@1 88.983


 loss 0.273, Acc@1 88.983


 loss 0.278, Acc@1 88.983


 loss 0.289, Acc@1 88.136


 loss 0.291, Acc@1 87.288


 loss 0.274, Acc@1 88.983


 loss 0.276, Acc@1 88.983


 loss 0.270, Acc@1 88.983


 loss 0.271, Acc@1 88.983


 loss 0.269, Acc@1 88.136


 loss 0.267, Acc@1 89.831


 loss 0.276, Acc@1 88.983


 loss 0.270, Acc@1 88.983


 loss 0.271, Acc@1 88.983


 loss 0.267, Acc@1 88.136


 loss 0.275, Acc@1 88.983


 loss 0.272, Acc@1 88.983


 loss 0.275, Acc@1 88.983


 loss 0.278, Acc@1 88.983


 loss 0.269, Acc@1 88.983


 loss 0.276, Acc@1 88.983


 loss 0.272, Acc@1 88.983


 loss 0.276, Acc@1 88.983


 loss 0.273, Acc@1 88.983


 loss 0.273, Acc@1 88.983


 loss 0.267, Acc@1 88.983


 loss 0.269, Acc@1 88.983


 loss 0.272, Acc@1 88.983


 loss 0.268, Acc@1 88.983


 loss 0.266, Acc@1 89.831


 loss 0.276, Acc@1 88.983


 loss 0.274, Acc@1 88.983


 loss 0.281, Acc@1 88.983


 loss 0.281, Acc@1 88.983


 loss 0.273, Acc@1 88.983


 loss 0.273, Acc@1 88.983


 loss 0.276, Acc@1 88.983


 loss 0.284, Acc@1 88.983


 loss 0.281, Acc@1 88.983


 loss 0.290, Acc@1 88.136


 loss 0.290, Acc@1 88.136


 loss 0.286, Acc@1 88.983


 loss 0.278, Acc@1 88.983


 loss 0.277, Acc@1 88.983


 loss 0.278, Acc@1 88.983


 loss 0.273, Acc@1 88.983


 loss 0.272, Acc@1 88.983


 loss 0.271, Acc@1 88.983


 loss 0.270, Acc@1 88.983


 loss 0.269, Acc@1 89.831


 loss 0.268, Acc@1 89.831


 loss 0.269, Acc@1 89.831


 loss 0.272, Acc@1 88.983


 loss 0.269, Acc@1 88.983


 loss 0.272, Acc@1 88.983


 loss 0.268, Acc@1 89.831


 loss 0.267, Acc@1 89.831


 loss 0.269, Acc@1 88.983


 loss 0.266, Acc@1 89.831


 loss 0.270, Acc@1 88.983


 loss 0.268, Acc@1 88.983


 loss 0.264, Acc@1 89.831


 loss 0.266, Acc@1 88.983


 loss 0.269, Acc@1 88.983


 loss 0.265, Acc@1 90.678


 loss 0.268, Acc@1 88.983


 loss 0.265, Acc@1 89.831


 loss 0.270, Acc@1 88.983


 loss 0.265, Acc@1 89.831


 loss 0.267, Acc@1 88.983


 loss 0.264, Acc@1 89.831


 loss 0.261, Acc@1 90.678


 loss 0.260, Acc@1 91.525


 loss 0.262, Acc@1 90.678


 loss 0.264, Acc@1 89.831


 loss 0.266, Acc@1 89.831


 loss 0.266, Acc@1 88.983


 loss 0.263, Acc@1 89.831


 loss 0.264, Acc@1 90.678


 loss 0.265, Acc@1 89.831


 loss 0.268, Acc@1 88.983


 loss 0.268, Acc@1 89.831


 loss 0.262, Acc@1 90.678


 loss 0.268, Acc@1 89.831


 loss 0.266, Acc@1 89.831


 loss 0.263, Acc@1 89.831


 loss 0.266, Acc@1 88.983


 loss 0.269, Acc@1 88.983


 loss 0.270, Acc@1 88.983


 loss 0.266, Acc@1 88.983


 loss 0.273, Acc@1 88.983


 loss 0.267, Acc@1 88.983


 loss 0.261, Acc@1 89.831


 loss 0.260, Acc@1 89.831


 loss 0.260, Acc@1 89.831


 loss 0.271, Acc@1 88.983


 loss 0.271, Acc@1 88.983


 loss 0.270, Acc@1 88.983


 loss 0.271, Acc@1 88.983


 loss 0.273, Acc@1 88.983


 loss 0.272, Acc@1 88.983


 loss 0.270, Acc@1 88.983


 loss 0.269, Acc@1 88.983


 loss 0.275, Acc@1 88.983


 loss 0.273, Acc@1 88.983


 loss 0.268, Acc@1 88.983


 loss 0.266, Acc@1 88.983


 loss 0.270, Acc@1 88.983


 loss 0.270, Acc@1 88.983


 loss 0.275, Acc@1 88.983


 loss 0.272, Acc@1 88.983


 loss 0.271, Acc@1 88.983


 loss 0.271, Acc@1 88.983


 loss 0.270, Acc@1 88.983


 loss 0.266, Acc@1 89.831


 loss 0.272, Acc@1 88.983


 loss 0.274, Acc@1 88.983


 loss 0.270, Acc@1 88.983


 loss 0.270, Acc@1 88.983


 loss 0.272, Acc@1 88.983


 loss 0.272, Acc@1 88.983


 loss 0.269, Acc@1 89.831


 loss 0.266, Acc@1 89.831


 loss 0.269, Acc@1 89.831


 loss 0.267, Acc@1 89.831


 loss 0.262, Acc@1 89.831


 loss 0.262, Acc@1 89.831


 loss 0.262, Acc@1 89.831


 loss 0.264, Acc@1 89.831


 loss 0.264, Acc@1 89.831


 loss 0.265, Acc@1 89.831


 loss 0.268, Acc@1 89.831


 loss 0.269, Acc@1 89.831


 loss 0.269, Acc@1 88.983


 loss 0.272, Acc@1 88.983


 loss 0.272, Acc@1 88.983


 loss 0.270, Acc@1 89.831


 loss 0.271, Acc@1 89.831


 loss 0.270, Acc@1 89.831


 loss 0.274, Acc@1 88.983


 loss 0.276, Acc@1 88.983


 loss 0.272, Acc@1 88.983


 loss 0.270, Acc@1 88.983


 loss 0.266, Acc@1 89.831


 loss 0.263, Acc@1 89.831


 loss 0.264, Acc@1 89.831


 loss 0.267, Acc@1 88.983


 loss 0.268, Acc@1 88.983


 loss 0.268, Acc@1 88.983


 loss 0.266, Acc@1 89.831


 loss 0.269, Acc@1 89.831


 loss 0.269, Acc@1 89.831


 loss 0.269, Acc@1 89.831


 loss 0.271, Acc@1 89.831


 loss 0.271, Acc@1 88.983


 loss 0.273, Acc@1 88.983


 loss 0.270, Acc@1 89.831


 loss 0.267, Acc@1 89.831


 loss 0.266, Acc@1 89.831


 loss 0.266, Acc@1 89.831


 loss 0.265, Acc@1 89.831


 loss 0.265, Acc@1 89.831


 loss 0.266, Acc@1 89.831


 loss 0.265, Acc@1 89.831


 loss 0.267, Acc@1 89.831


 loss 0.267, Acc@1 89.831


 loss 0.268, Acc@1 88.983


 loss 0.268, Acc@1 88.983


 loss 0.269, Acc@1 88.983


 loss 0.268, Acc@1 88.983


 loss 0.271, Acc@1 88.983


 loss 0.269, Acc@1 88.983


 loss 0.268, Acc@1 88.983


 loss 0.266, Acc@1 89.831


 loss 0.266, Acc@1 89.831


 loss 0.264, Acc@1 89.831


 loss 0.264, Acc@1 89.831


 loss 0.266, Acc@1 89.831


 loss 0.268, Acc@1 88.983


 loss 0.268, Acc@1 88.983


 loss 0.269, Acc@1 88.983


 loss 0.267, Acc@1 88.983


 loss 0.267, Acc@1 88.983


 loss 0.267, Acc@1 89.831


 loss 0.267, Acc@1 89.831


 loss 0.266, Acc@1 89.831


 loss 0.265, Acc@1 89.831


 loss 0.265, Acc@1 89.831


 loss 0.265, Acc@1 89.831


 loss 0.265, Acc@1 89.831


 loss 0.265, Acc@1 88.983


 loss 0.265, Acc@1 88.983


 loss 0.266, Acc@1 88.983


 loss 0.267, Acc@1 88.983


 loss 0.267, Acc@1 88.983


 loss 0.267, Acc@1 88.983


 loss 0.269, Acc@1 88.983


 loss 0.270, Acc@1 88.983


 loss 0.269, Acc@1 88.983


 loss 0.269, Acc@1 88.983


 loss 0.268, Acc@1 88.983


 loss 0.269, Acc@1 88.983


 loss 0.268, Acc@1 88.983


 loss 0.270, Acc@1 88.983


 loss 0.269, Acc@1 88.983


 loss 0.270, Acc@1 88.983


 loss 0.271, Acc@1 88.983


 loss 0.272, Acc@1 88.983

